store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
8419537941919820732,0.0,0.0,0.0,0.0,0.0,0.0
54515546588432327,0.0,0.0,0.0,0.0,73.5,73.5
8377465688456570187,0.0,0.0,0.0,0.0,87.5,87.5
5955337179846162144,0.0,0.0,0.0,0.0,70.0,70.0
1169347689335808384,0.0,0.0,0.0,0.0,69.5,69.5
3739729523266121270,0.0,0.0,0.0,0.0,132.80944444444444,132.80944444444444
4430370444829587327,0.0,0.0,0.0,216.91666666666666,99.44416666666666,99.44416666666666
1912555533282230523,0.0,0.0,0.0,0.0,35.0,35.0
5489547402882838709,0.0,0.0,0.0,0.0,118.99805555555555,118.99805555555555
759601765366096871,0.0,0.0,0.0,0.0,0.0,0.0
5627904252074297008,0.0,0.0,0.0,0.0,129.49805555555557,129.49805555555557
2651685499613063745,0.0,0.0,0.0,0.0,0.0,0.0
5043046815492880667,0.0,0.0,0.0,0.0,0.0,0.0
2367299134091594697,0.0,0.0,0.0,0.0,0.0,0.0
6613902849003357359,0.0,0.0,0.0,0.0,0.0,0.0
1396650693591399695,0.0,0.0,0.0,0.0,0.0,0.0
837699569013981799,0.0,0.0,0.0,0.0,0.0,0.0
2057963137235512954,0.0,0.0,0.0,0.0,0.0,0.0
6108568838704593560,0.0,0.0,0.0,0.0,0.0,0.0
7815590034868021689,0.0,0.0,0.0,0.0,0.0,0.0
7493928216510270665,0.0,0.0,0.0,0.0,0.0,0.0
7961038966240415760,0.0,0.0,0.0,0.0,119.0,119.0
605803287923472894,0.0,0.0,0.0,0.0,97.99805555555555,97.99805555555555
5278384915350904550,0.0,0.0,0.0,0.0,49.0,49.0
8494749731668571682,0.0,0.0,0.0,0.0,50.5,50.5
4858828967449392712,0.0,0.0,0.0,0.0,60.0,60.0
7555752115160416405,0.0,0.0,0.0,0.0,49.5,49.5
8625022238145771938,0.0,0.0,0.0,0.0,125.99805555555555,125.99805555555555
4159147177864939740,0.0,0.0,0.0,0.0,63.0,63.0
8157355919956132858,0.0,0.0,0.0,0.0,94.49805555555555,94.49805555555555
3595154674145356045,0.0,0.0,0.0,0.0,118.99805555555555,118.99805555555555
5693932324957995427,0.0,0.0,0.0,0.0,132.80944444444444,132.80944444444444
8631502755712457479,0.0,0.0,0.0,0.0,85.0,85.0
7369215549436595643,0.0,0.0,0.0,0.0,84.0,84.0
5733393565264082443,0.0,0.0,0.0,0.0,86.0,86.0
4681743429609749121,0.0,0.0,0.0,0.0,75.5,75.5
2567728765809290933,0.0,0.0,0.0,116.76666666666667,97.99805555555555,97.99805555555555
284239040495575980,0.0,0.0,0.0,0.0,69.99805555555555,69.99805555555555
6656463669299127947,0.0,0.0,0.0,0.0,0.0,0.0
9184109988854973601,0.0,0.0,0.0,0.0,97.88333333333334,97.88333333333334
6031574077635056029,0.0,0.0,0.0,0.0,0.0,0.0
9111813718630350474,0.0,0.0,0.0,0.0,0.0,0.0
8750493480383302874,0.0,0.0,0.0,0.0,0.0,0.0
3048405945625600463,0.0,0.0,0.0,0.0,0.0,0.0
3983786718839842887,0.0,0.0,0.0,0.0,0.0,0.0
5047154360023757128,0.0,0.0,0.0,0.0,0.0,0.0
7933946190613920010,0.0,0.0,0.0,0.0,94.5,94.5
379226339704530410,0.0,0.0,0.0,0.0,132.80944444444444,132.80944444444444
1253356761818562621,0.0,0.0,0.0,0.0,82.5,82.5
4755926456158904833,0.0,0.0,0.0,0.0,132.80944444444444,132.80944444444444
8803894796084290585,0.0,0.0,0.0,0.0,45.5,45.5
6836033035108373086,0.0,0.0,0.0,0.0,89.99805555555555,89.99805555555555
2639750514662973687,0.0,0.0,0.0,0.0,101.5,101.5
1040732551176103056,0.0,0.0,0.0,0.0,81.0,81.0
8304911926566338483,0.0,0.0,0.0,0.0,118.99805555555555,118.99805555555555
3361278033591045661,0.0,0.0,0.0,0.0,132.80944444444444,132.80944444444444
2601623541509400542,0.0,0.0,0.0,0.0,63.0,63.0
8207758013351082541,0.0,0.0,0.0,0.0,54.0,54.0
4249300502744464539,0.0,0.0,0.0,0.0,0.0,0.0
881974164067848799,0.0,0.0,0.0,0.0,45.0,45.0
4031771205466256346,0.0,0.0,0.0,216.91666666666666,99.44416666666666,99.44416666666666
8117247589549708019,0.0,0.0,0.0,0.0,97.99805555555555,97.99805555555555
5223121655148958959,0.0,0.0,0.0,0.0,125.88333333333334,125.88333333333334
5281145666427062582,0.0,0.0,0.0,0.0,41.998333333333335,41.998333333333335
7103249743888768279,0.0,0.0,0.0,0.0,58.75,58.75
6937872202603482963,0.0,0.0,0.0,0.0,84.25,84.25
4359897525988670130,0.0,0.0,0.0,0.0,84.0,84.0
8668949117244880140,0.0,0.0,0.0,0.0,95.0,95.0
329697652999698776,0.0,0.0,0.0,0.0,73.5,73.5
2873839205725435068,0.0,0.0,0.0,0.0,56.0,56.0
1634983772484395625,0.0,0.0,0.0,0.0,0.0,0.0
8754037299794781932,0.0,0.0,0.0,0.0,132.80944444444444,132.80944444444444
8478659457975884995,0.0,0.0,0.0,0.0,132.80944444444444,132.80944444444444
3173528025538718452,0.0,0.0,0.0,0.0,132.80944444444444,132.80944444444444
1172776965412058288,0.0,0.0,0.0,0.0,0.0,0.0
8050904836920798206,0.0,0.0,0.0,0.0,0.0,0.0
3485383537492459194,0.0,0.0,0.0,0.0,57.46666666666667,57.46666666666667
7791569942019889767,0.0,0.0,0.0,0.0,132.80944444444444,132.80944444444444
7647796266115725856,0.0,0.0,0.0,0.0,70.5,70.5
7372385631979013974,0.0,0.0,0.0,0.0,132.80944444444444,132.80944444444444
1886094822273762805,0.0,0.0,0.0,56.766666666666666,97.88333333333334,97.88333333333334
1921227243936268124,0.0,0.0,0.0,0.0,57.0,57.0
2670800031826856367,0.0,0.0,0.0,26.766666666666666,104.88333333333334,104.88333333333334
2529970021684233025,0.0,0.0,0.0,0.0,0.0,0.0
3390153829311738919,0.0,0.0,0.0,0.0,39.0,39.0
2723172216807087715,0.0,0.0,0.0,0.0,0.0,0.0
3457174951287490032,0.0,0.0,0.0,0.0,0.0,0.0
1557691556894768738,0.0,0.0,0.0,0.0,0.0,0.0
